Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID
192080946,B07,19088421,Alarms,2019-07-27,2019-07-27,07/27/2019 09:03:29 AM,07/27/2019 09:05:11 AM,07/27/2019 09:05:22 AM,07/27/2019 09:06:07 AM,null,null,null,Fire,07/27/2019 09:15:01 AM,4300 Block of GEARY BL,San Francisco,94118,B07,31,7135,3,3,3,false,Alarm,1,CHIEF,3,7,1,Inner Richmond,POINT (-122.4658941391237 37.78107187861642),192080946-B07
192080946,E31,19088421,Alarms,2019-07-27,2019-07-27,07/27/2019 09:03:29 AM,07/27/2019 09:05:11 AM,07/27/2019 09:05:22 AM,07/27/2019 09:06:40 AM,07/27/2019 09:08:44 AM,null,null,Fire,07/27/2019 09:15:01 AM,4300 Block of GEARY BL,San Francisco,94118,B07,31,7135,3,3,3,true,Alarm,1,ENGINE,1,7,1,Inner Richmond,POINT (-122.4658941391237 37.78107187861642),192080946-E31
192080946,T14,19088421,Alarms,2019-07-27,2019-07-27,07/27/2019 09:03:29 AM,07/27/2019 09:05:11 AM,07/27/2019 09:05:22 AM,07/27/2019 09:07:13 AM,07/27/2019 09:11:06 AM,null,null,Fire,07/27/2019 09:15:01 AM,4300 Block of GEARY BL,San Francisco,94118,B07,31,7135,3,3,3,false,Alarm,1,TRUCK,2,7,1,Inner Richmond,POINT (-122.4658941391237 37.78107187861642),192080946-T14
192080970,KM02,19088422,Medical Incident,2019-07-27,2019-07-27,07/27/2019 09:10:16 AM,07/27/2019 09:12:40 AM,07/27/2019 09:12:57 AM,07/27/2019 09:13:23 AM,07/27/2019 09:16:42 AM,07/27/2019 09:54:27 AM,07/27/2019 10:00:39 AM,Code 2 Transport,07/27/2019 10:20:10 AM,1800 Block of CALIFORNIA ST,San Francisco,94109,B04,38,3254,2,2,2,false,Potentially Life-Threatening,1,PRIVATE,1,4,2,Western Addition,POINT (-122.42478456583139 37.79000194431993),192080970-KM02
192080973,B04,19088423,Electrical Hazard,2019-07-27,2019-07-27,07/27/2019 09:11:56 AM,07/27/2019 09:13:23 AM,07/27/2019 09:13:30 AM,07/27/2019 09:15:09 AM,07/27/2019 09:22:49 AM,null,null,Fire,07/27/2019 09:23:37 AM,800 Block of TURK ST,San Francisco,94102,B02,05,3216,3,3,3,false,Alarm,1,CHIEF,3,2,5,Western Addition,POINT (-122.42309018884136 37.781585403105),192080973-B04
192080973,E05,19088423,Electrical Hazard,2019-07-27,2019-07-27,07/27/2019 09:11:56 AM,07/27/2019 09:13:23 AM,07/27/2019 09:13:30 AM,07/27/2019 09:15:22 AM,07/27/2019 09:18:23 AM,null,null,Fire,07/27/2019 09:22:18 AM,800 Block of TURK ST,San Francisco,94102,B02,05,3216,3,3,3,true,Alarm,1,ENGINE,1,2,5,Western Addition,POINT (-122.42309018884136 37.781585403105),192080973-E05
192080973,T05,19088423,Electrical Hazard,2019-07-27,2019-07-27,07/27/2019 09:11:56 AM,07/27/2019 09:13:23 AM,07/27/2019 09:13:30 AM,07/27/2019 09:15:04 AM,07/27/2019 09:18:30 AM,null,null,Fire,07/27/2019 09:23:06 AM,800 Block of TURK ST,San Francisco,94102,B02,05,3216,3,3,3,false,Alarm,1,TRUCK,2,2,5,Western Addition,POINT (-122.42309018884136 37.781585403105),192080973-T05
192080982,60,19088424,Medical Incident,2019-07-27,2019-07-27,07/27/2019 09:15:12 AM,07/27/2019 09:16:48 AM,07/27/2019 09:16:57 AM,07/27/2019 09:17:04 AM,null,null,null,No Merit,07/27/2019 09:21:16 AM,14TH AV/GEARY BL,San Francisco,94118,B07,31,7153,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,7,1,Outer Richmond,POINT (-122.47284399310529 37.78063078719187),192080982-60
192080982,E31,19088424,Medical Incident,2019-07-27,2019-07-27,07/27/2019 09:15:12 AM,07/27/2019 09:16:48 AM,07/27/2019 09:16:57 AM,07/27/2019 09:17:06 AM,07/27/2019 09:19:47 AM,null,null,No Merit,07/27/2019 09:21:16 AM,14TH AV/GEARY BL,San Francisco,94118,B07,31,7153,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,7,1,Outer Richmond,POINT (-122.47284399310529 37.78063078719187),192080982-E31
192080983,79,19088425,Medical Incident,2019-07-27,2019-07-27,07/27/2019 09:15:23 AM,07/27/2019 09:16:59 AM,07/27/2019 09:17:34 AM,07/27/2019 09:17:42 AM,07/27/2019 09:20:58 AM,07/27/2019 09:23:29 AM,07/27/2019 09:40:22 AM,Code 2 Transport,07/27/2019 10:12:16 AM,3100 Block of SCOTT ST,San Francisco,94123,B04,16,4115,3,2,2,true,Potentially Life-Threatening,1,MEDIC,1,4,2,Marina,POINT (-122.4409562018578 37.79875969501691),192080983-79
192080983,E16,19088425,Medical Incident,2019-07-27,2019-07-27,07/27/2019 09:15:23 AM,07/27/2019 09:16:59 AM,07/27/2019 09:17:34 AM,07/27/2019 09:18:43 AM,null,null,null,Code 2 Transport,07/27/2019 09:21:42 AM,3100 Block of SCOTT ST,San Francisco,94123,B04,16,4115,3,2,2,true,Potentially Life-Threatening,1,ENGINE,2,4,2,Marina,POINT (-122.4409562018578 37.79875969501691),192080983-E16
192080986,78,19088426,Medical Incident,2019-07-27,2019-07-27,07/27/2019 09:16:57 AM,07/27/2019 09:17:58 AM,07/27/2019 09:18:26 AM,07/27/2019 09:18:59 AM,07/27/2019 09:23:37 AM,null,null,No Merit,07/27/2019 09:26:23 AM,600 Block of CHURCH ST,San Francisco,94114,B02,06,5421,3,3,3,true,Non Life-threatening,1,MEDIC,2,6,8,Castro/Upper Market,POINT (-122.42838513947719 37.76088616121546),192080986-78
192080986,E06,19088426,Medical Incident,2019-07-27,2019-07-27,07/27/2019 09:16:57 AM,07/27/2019 09:17:58 AM,07/27/2019 09:18:26 AM,07/27/2019 09:19:34 AM,07/27/2019 09:21:04 AM,null,null,No Merit,07/27/2019 09:26:23 AM,600 Block of CHURCH ST,San Francisco,94114,B02,06,5421,3,3,3,true,Non Life-threatening,1,ENGINE,1,6,8,Castro/Upper Market,POINT (-122.42838513947719 37.76088616121546),192080986-E06
192080990,63,19088427,Medical Incident,2019-07-27,2019-07-27,07/27/2019 09:16:25 AM,07/27/2019 09:19:08 AM,07/27/2019 09:19:28 AM,07/27/2019 09:19:55 AM,null,null,null,No Merit,07/27/2019 09:23:52 AM,2500 Block of 3RD ST,San Francisco,94107,B10,25,2533,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,10,10,Potrero Hill,POINT (-122.38826758401706 37.756655137729325),192080990-63
192080990,E25,19088427,Medical Incident,2019-07-27,2019-07-27,07/27/2019 09:16:25 AM,07/27/2019 09:19:08 AM,07/27/2019 09:19:28 AM,07/27/2019 09:21:32 AM,null,null,null,No Merit,07/27/2019 09:22:28 AM,2500 Block of 3RD ST,San Francisco,94107,B10,25,2533,3,3,3,true,Potentially Life-Threatening,1,ENGINE,3,10,10,Potrero Hill,POINT (-122.38826758401706 37.756655137729325),192080990-E25
192080990,E37,19088427,Medical Incident,2019-07-27,2019-07-27,07/27/2019 09:16:25 AM,07/27/2019 09:19:08 AM,07/27/2019 09:19:28 AM,07/27/2019 09:20:26 AM,07/27/2019 09:22:04 AM,null,null,No Merit,07/27/2019 09:24:04 AM,2500 Block of 3RD ST,San Francisco,94107,B10,25,2533,3,3,3,false,Potentially Life-Threatening,1,ENGINE,1,10,10,Potrero Hill,POINT (-122.38826758401706 37.756655137729325),192080990-E37
192080998,T02,19088428,Elevator / Escalator Rescue,2019-07-27,2019-07-27,07/27/2019 09:21:46 AM,07/27/2019 09:22:30 AM,07/27/2019 09:22:39 AM,07/27/2019 09:22:52 AM,07/27/2019 09:28:14 AM,null,null,Fire,07/27/2019 09:47:48 AM,1200 Block of JONES ST,San Francisco,94109,B01,41,1465,3,3,3,false,Alarm,1,TRUCK,1,1,3,Nob Hill,POINT (-122.41440594049492 37.79255469582157),192080998-T02
192081008,53,19088429,Medical Incident,2019-07-27,2019-07-27,07/27/2019 09:17:57 AM,07/27/2019 09:24:14 AM,07/27/2019 09:24:31 AM,07/27/2019 09:24:35 AM,07/27/2019 09:48:45 AM,07/27/2019 09:48:49 AM,07/27/2019 09:54:36 AM,Code 2 Transport,07/27/2019 10:24:42 AM,2500 Block of 24TH ST,San Francisco,94110,B10,09,2562,2,2,2,true,Non Life-threatening,1,MEDIC,1,10,10,Mission,POINT (-122.40485230979942 37.75314739760859),192081008-53
192081009,62,19088430,Medical Incident,2019-07-27,2019-07-27,07/27/2019 09:23:59 AM,07/27/2019 09:24:29 AM,07/27/2019 09:24:55 AM,07/27/2019 09:24:59 AM,07/27/2019 09:30:09 AM,07/27/2019 09:34:37 AM,07/27/2019 09:52:23 AM,Code 2 Transport,07/27/2019 10:20:13 AM,4000 Block of MORAGA ST,San Francisco,94122,B08,23,7716,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,8,4,Sunset/Parkside,POINT (-122.50607380407637 37.754862284551706),192081009-62
192081009,E23,19088430,Medical Incident,2019-07-27,2019-07-27,07/27/2019 09:23:59 AM,07/27/2019 09:24:29 AM,07/27/2019 09:24:55 AM,07/27/2019 09:25:38 AM,07/27/2019 09:29:47 AM,null,null,Code 2 Transport,07/27/2019 09:38:48 AM,4000 Block of MORAGA ST,San Francisco,94122,B08,23,7716,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,8,4,Sunset/Parkside,POINT (-122.50607380407637 37.754862284551706),192081009-E23
192081016,B06,19088431,Alarms,2019-07-27,2019-07-27,07/27/2019 09:25:20 AM,07/27/2019 09:27:05 AM,07/27/2019 09:27:20 AM,07/27/2019 09:28:28 AM,null,null,null,Fire,07/27/2019 09:54:30 AM,600 Block of CORBETT AVE,San Francisco,94114,B06,24,0526,3,3,3,false,Alarm,1,CHIEF,3,6,8,Castro/Upper Market,POINT (-122.44332735967772 37.756637683220646),192081016-B06
192081016,E24,19088431,Alarms,2019-07-27,2019-07-27,07/27/2019 09:25:20 AM,07/27/2019 09:27:05 AM,07/27/2019 09:27:20 AM,07/27/2019 09:27:37 AM,07/27/2019 09:31:25 AM,null,null,Fire,07/27/2019 09:40:09 AM,600 Block of CORBETT AVE,San Francisco,94114,B06,24,0526,3,3,3,true,Alarm,1,ENGINE,1,6,8,Castro/Upper Market,POINT (-122.44332735967772 37.756637683220646),192081016-E24
192081016,T12,19088431,Alarms,2019-07-27,2019-07-27,07/27/2019 09:25:20 AM,07/27/2019 09:27:05 AM,07/27/2019 09:27:20 AM,07/27/2019 09:28:25 AM,null,null,null,Fire,07/27/2019 09:54:39 AM,600 Block of CORBETT AVE,San Francisco,94114,B06,24,0526,3,3,3,false,Alarm,1,TRUCK,2,6,8,Castro/Upper Market,POINT (-122.44332735967772 37.756637683220646),192081016-T12
192081030,60,19088432,Medical Incident,2019-07-27,2019-07-27,07/27/2019 09:28:05 AM,07/27/2019 09:31:33 AM,07/27/2019 09:31:48 AM,07/27/2019 09:31:54 AM,07/27/2019 09:35:38 AM,07/27/2019 09:58:18 AM,07/27/2019 10:08:04 AM,Code 2 Transport,07/27/2019 10:47:41 AM,300 Block of 17TH AVE,San Francisco,94121,B07,31,7161,2,2,2,true,Non Life-threatening,1,MEDIC,1,7,1,Outer Richmond,POINT (-122.4763069627832 37.781437804081364),192081030-60
192081030,E31,19088432,Medical Incident,2019-07-27,2019-07-27,07/27/2019 09:28:05 AM,07/27/2019 09:31:33 AM,07/27/2019 09:31:48 AM,07/27/2019 09:31:59 AM,null,null,null,Code 2 Transport,07/27/2019 09:55:05 AM,300 Block of 17TH AVE,San Francisco,94121,B07,31,7161,2,2,2,true,Non Life-threatening,1,ENGINE,3,7,1,Outer Richmond,POINT (-122.4763069627832 37.781437804081364),192081030-E31
192081030,RC2,19088432,Medical Incident,2019-07-27,2019-07-27,07/27/2019 09:28:05 AM,07/27/2019 09:31:33 AM,07/27/2019 09:33:47 AM,07/27/2019 09:33:47 AM,07/27/2019 09:38:49 AM,null,null,Code 2 Transport,07/27/2019 10:11:33 AM,300 Block of 17TH AVE,San Francisco,94121,B07,31,7161,2,2,2,true,Non Life-threatening,1,RESCUE CAPTAIN,2,7,1,Outer Richmond,POINT (-122.4763069627832 37.781437804081364),192081030-RC2
192081034,86,19088433,Medical Incident,2019-07-27,2019-07-27,07/27/2019 09:31:25 AM,07/27/2019 09:33:12 AM,07/27/2019 09:33:40 AM,07/27/2019 09:33:44 AM,07/27/2019 09:58:27 AM,07/27/2019 10:21:56 AM,07/27/2019 10:34:32 AM,Code 2 Transport,07/27/2019 11:11:58 AM,100 Block of 6TH ST,San Francisco,94103,B03,01,2251,2,2,2,true,Non Life-threatening,1,MEDIC,1,3,6,South of Market,POINT (-122.40848372232735 37.78071448676589),192081034-86
192081038,78,19088434,Medical Incident,2019-07-27,2019-07-27,07/27/2019 09:31:10 AM,07/27/2019 09:33:57 AM,07/27/2019 09:34:29 AM,07/27/2019 09:34:36 AM,07/27/2019 09:45:10 AM,07/27/2019 10:08:12 AM,07/27/2019 10:27:06 AM,Code 3 Transport,07/27/2019 11:18:02 AM,500 Block of CAPP ST,San Francisco,94110,B06,07,5446,2,2,2,true,Non Life-threatening,1,MEDIC,1,6,9,Mission,POINT (-122.41795728658224 37.75789544357451),192081038-78
192081040,E42,19088435,Medical Incident,2019-07-27,2019-07-27,07/27/2019 09:31:31 AM,07/27/2019 09:34:06 AM,07/27/2019 09:35:11 AM,07/27/2019 09:36:03 AM,07/27/2019 09:43:44 AM,null,null,Fire,07/27/2019 09:50:24 AM,300 Block of PRINCETON ST,San Francisco,94134,B09,42,6345,2,2,2,true,Non Life-threatening,1,ENGINE,1,9,9,Portola,POINT (-122.41507234245182 37.725245010193554),192081040-E42
192081050,75,19088436,Structure Fire,2019-07-27,2019-07-27,07/27/2019 09:35:35 AM,07/27/2019 09:37:19 AM,07/27/2019 09:37:39 AM,07/27/2019 09:37:43 AM,null,null,null,Fire,07/27/2019 09:43:56 AM,1800 Block of FILLMORE ST,San Francisco,94115,B04,38,3542,3,3,3,true,Alarm,1,MEDIC,8,4,5,Pacific Heights,POINT (-122.43343409085134 37.786544379001796),192081050-75
192081050,B04,19088436,Structure Fire,2019-07-27,2019-07-27,07/27/2019 09:35:35 AM,07/27/2019 09:37:19 AM,07/27/2019 09:37:39 AM,07/27/2019 09:39:10 AM,null,null,null,Fire,07/27/2019 09:43:42 AM,1800 Block of FILLMORE ST,San Francisco,94115,B04,38,3542,3,3,3,false,Alarm,1,CHIEF,9,4,5,Pacific Heights,POINT (-122.43343409085134 37.786544379001796),192081050-B04
192081050,B05,19088436,Structure Fire,2019-07-27,2019-07-27,07/27/2019 09:35:35 AM,07/27/2019 09:37:19 AM,07/27/2019 09:37:39 AM,07/27/2019 09:38:15 AM,07/27/2019 09:40:36 AM,null,null,Fire,07/27/2019 09:59:04 AM,1800 Block of FILLMORE ST,San Francisco,94115,B04,38,3542,3,3,3,false,Alarm,1,CHIEF,2,4,5,Pacific Heights,POINT (-122.43343409085134 37.786544379001796),192081050-B05
192081050,D2,19088436,Structure Fire,2019-07-27,2019-07-27,07/27/2019 09:35:35 AM,07/27/2019 09:37:19 AM,07/27/2019 09:37:39 AM,07/27/2019 09:38:16 AM,07/27/2019 09:41:02 AM,null,null,Fire,07/27/2019 09:44:01 AM,1800 Block of FILLMORE ST,San Francisco,94115,B04,38,3542,3,3,3,false,Alarm,1,CHIEF,5,4,5,Pacific Heights,POINT (-122.43343409085134 37.786544379001796),192081050-D2
192081050,E05,19088436,Structure Fire,2019-07-27,2019-07-27,07/27/2019 09:35:35 AM,07/27/2019 09:37:19 AM,07/27/2019 09:37:39 AM,07/27/2019 09:39:02 AM,07/27/2019 09:40:59 AM,null,null,Fire,07/27/2019 09:47:16 AM,1800 Block of FILLMORE ST,San Francisco,94115,B04,38,3542,3,3,3,true,Alarm,1,ENGINE,4,4,5,Pacific Heights,POINT (-122.43343409085134 37.786544379001796),192081050-E05
192081050,E10,19088436,Structure Fire,2019-07-27,2019-07-27,07/27/2019 09:35:35 AM,07/27/2019 09:37:19 AM,07/27/2019 09:37:39 AM,07/27/2019 09:40:03 AM,07/27/2019 09:40:39 AM,null,null,Fire,07/27/2019 09:58:35 AM,1800 Block of FILLMORE ST,San Francisco,94115,B04,38,3542,3,3,3,true,Alarm,1,ENGINE,3,4,5,Pacific Heights,POINT (-122.43343409085134 37.786544379001796),192081050-E10
192081050,E38,19088436,Structure Fire,2019-07-27,2019-07-27,07/27/2019 09:35:35 AM,07/27/2019 09:37:19 AM,07/27/2019 09:37:39 AM,07/27/2019 09:38:45 AM,07/27/2019 09:40:26 AM,null,null,Fire,07/27/2019 09:46:32 AM,1800 Block of FILLMORE ST,San Francisco,94115,B04,38,3542,3,3,3,false,Alarm,1,ENGINE,1,4,5,Pacific Heights,POINT (-122.43343409085134 37.786544379001796),192081050-E38
192081050,RS1,19088436,Structure Fire,2019-07-27,2019-07-27,07/27/2019 09:35:35 AM,07/27/2019 09:37:19 AM,07/27/2019 09:37:39 AM,07/27/2019 09:38:55 AM,null,null,null,Fire,07/27/2019 09:42:23 AM,1800 Block of FILLMORE ST,San Francisco,94115,B04,38,3542,3,3,3,false,Alarm,1,RESCUE SQUAD,10,4,5,Pacific Heights,POINT (-122.43343409085134 37.786544379001796),192081050-RS1
192081050,T05,19088436,Structure Fire,2019-07-27,2019-07-27,07/27/2019 09:35:35 AM,07/27/2019 09:37:19 AM,07/27/2019 09:37:39 AM,07/27/2019 09:39:29 AM,07/27/2019 09:41:29 AM,null,null,Fire,07/27/2019 10:01:55 AM,1800 Block of FILLMORE ST,San Francisco,94115,B04,38,3542,3,3,3,false,Alarm,1,TRUCK,6,4,5,Pacific Heights,POINT (-122.43343409085134 37.786544379001796),192081050-T05
192081050,T10,19088436,Structure Fire,2019-07-27,2019-07-27,07/27/2019 09:35:35 AM,07/27/2019 09:37:19 AM,07/27/2019 09:37:39 AM,07/27/2019 09:39:09 AM,null,null,null,Fire,07/27/2019 09:53:34 AM,1800 Block of FILLMORE ST,San Francisco,94115,B04,38,3542,3,3,3,false,Alarm,1,TRUCK,7,4,5,Pacific Heights,POINT (-122.43343409085134 37.786544379001796),192081050-T10
180320251,70,18013375,Medical Incident,2018-02-01,2018-01-31,02/01/2018 02:39:08 AM,02/01/2018 02:41:04 AM,02/01/2018 02:42:15 AM,02/01/2018 02:42:25 AM,02/01/2018 03:05:24 AM,02/01/2018 03:05:55 AM,02/01/2018 03:14:46 AM,Code 2 Transport,02/01/2018 03:56:28 AM,600 Block of VALENCIA ST,San Francisco,94110,B02,07,5247,2,2,2,true,Non Life-threatening,1,MEDIC,1,2,8,Mission,POINT (-122.421747650463 37.762743660115),180320251-70
180320270,55,18013377,Medical Incident,2018-02-01,2018-01-31,02/01/2018 03:03:58 AM,02/01/2018 03:07:01 AM,02/01/2018 03:07:33 AM,02/01/2018 03:07:42 AM,02/01/2018 03:21:36 AM,02/01/2018 04:12:23 AM,02/01/2018 04:20:18 AM,Code 2 Transport,02/01/2018 05:00:12 AM,1200 Block of HAIGHT ST,San Francisco,94117,B05,21,4353,2,2,2,true,Potentially Life-Threatening,1,MEDIC,1,5,5,Haight Ashbury,POINT (-122.442665734926 37.770607815414),180320270-55
180320285,71,18013379,Medical Incident,2018-02-01,2018-01-31,02/01/2018 03:25:11 AM,02/01/2018 03:26:53 AM,02/01/2018 03:27:52 AM,02/01/2018 03:28:30 AM,02/01/2018 03:40:52 AM,02/01/2018 03:41:49 AM,02/01/2018 04:02:28 AM,Code 2 Transport,02/01/2018 04:38:04 AM,100 Block of PINE ST,San Francisco,94111,B01,13,1136,2,2,2,true,Non Life-threatening,1,MEDIC,1,1,3,Financial District/South Beach,POINT (-122.399164588196 37.792278857792),180320285-71
180320301,52,18013381,Medical Incident,2018-02-01,2018-01-31,02/01/2018 03:44:30 AM,02/01/2018 03:44:30 AM,02/01/2018 03:46:17 AM,02/01/2018 03:46:29 AM,02/01/2018 03:56:06 AM,02/01/2018 04:13:26 AM,02/01/2018 04:21:03 AM,Code 2 Transport,02/01/2018 05:43:54 AM,1000 Block of HOWARD ST,San Francisco,94103,B03,01,2252,A,2,2,true,Non Life-threatening,1,MEDIC,1,3,6,South of Market,POINT (-122.407376438306 37.779489776176),180320301-52
180320308,91,18013383,Medical Incident,2018-02-01,2018-01-31,02/01/2018 03:53:31 AM,02/01/2018 03:54:34 AM,02/01/2018 03:55:33 AM,02/01/2018 03:57:24 AM,02/01/2018 04:00:35 AM,02/01/2018 04:03:22 AM,02/01/2018 04:15:48 AM,Code 2 Transport,02/01/2018 04:33:37 AM,5600 Block of 3RD ST,San Francisco,94124,B10,17,6537,3,3,3,true,Potentially Life-Threatening,1,MEDIC,1,10,10,Bayview Hunters Point,POINT (-122.39386696205 37.72664747874),180320308-91
180320331,77,18013388,Medical Incident,2018-02-01,2018-01-31,02/01/2018 04:12:38 AM,02/01/2018 04:14:50 AM,02/01/2018 04:15:51 AM,02/01/2018 04:16:02 AM,02/01/2018 04:23:02 AM,02/01/2018 04:38:21 AM,02/01/2018 04:56:21 AM,Code 2 Transport,02/01/2018 05:39:29 AM,7500 Block of GEARY BLVD,San Francisco,94121,B07,34,7264,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,7,1,Outer Richmond,POINT (-122.50028416491 37.779505272625),180320331-77
180320352,53,18013391,Medical Incident,2018-02-01,2018-01-31,02/01/2018 04:31:35 AM,02/01/2018 04:33:54 AM,02/01/2018 04:35:42 AM,02/01/2018 04:36:07 AM,02/01/2018 04:40:45 AM,02/01/2018 05:15:53 AM,02/01/2018 05:20:47 AM,Code 2 Transport,02/01/2018 05:59:09 AM,3300 Block of 18TH ST,San Francisco,94110,B02,07,5423,3,2,2,true,Potentially Life-Threatening,1,MEDIC,2,6,9,Mission,POINT (-122.41771988183 37.7618797799),180320352-53
180320357,62,18013392,Medical Incident,2018-02-01,2018-01-31,02/01/2018 04:32:02 AM,02/01/2018 04:36:03 AM,02/01/2018 04:36:13 AM,02/01/2018 04:36:27 AM,02/01/2018 04:45:39 AM,02/01/2018 05:01:50 AM,02/01/2018 05:14:29 AM,Code 2 Transport,02/01/2018 05:53:55 AM,500 Block of 41ST AVE,San Francisco,94121,B07,34,7264,2,2,2,true,Non Life-threatening,1,MEDIC,1,7,1,Outer Richmond,POINT (-122.501732853666 37.778349169007),180320357-62
180320373,72,18013395,Medical Incident,2018-02-01,2018-01-31,02/01/2018 04:54:04 AM,02/01/2018 04:55:55 AM,02/01/2018 04:56:09 AM,02/01/2018 04:56:15 AM,02/01/2018 05:01:19 AM,02/01/2018 05:34:28 AM,02/01/2018 05:44:10 AM,Code 2 Transport,02/01/2018 06:05:27 AM,1200 Block of JONES ST,San Francisco,94109,B01,41,1465,2,2,2,true,Potentially Life-Threatening,1,MEDIC,1,1,3,Nob Hill,POINT (-122.414405940495 37.792554695822),180320373-72
180320374,82,18013396,Medical Incident,2018-02-01,2018-01-31,02/01/2018 04:54:21 AM,02/01/2018 04:58:12 AM,02/01/2018 05:00:08 AM,02/01/2018 05:00:15 AM,02/01/2018 05:10:03 AM,02/01/2018 05:43:38 AM,02/01/2018 06:13:10 AM,Code 2 Transport,02/01/2018 07:27:33 AM,1200 Block of MONTEREY BLVD,San Francisco,94127,B09,15,8547,2,2,2,true,Non Life-threatening,1,MEDIC,1,9,7,West of Twin Peaks,POINT (-122.463092715715 37.730469784858),180320374-82
180320394,57,18013400,Medical Incident,2018-02-01,2018-01-31,02/01/2018 05:12:07 AM,02/01/2018 05:15:13 AM,02/01/2018 05:15:33 AM,02/01/2018 05:15:40 AM,02/01/2018 05:25:00 AM,02/01/2018 05:38:13 AM,02/01/2018 05:38:12 AM,Code 2 Transport,02/01/2018 06:26:59 AM,500 Block of MISSION BAY NORTH BL,San Francisco,94158,B03,04,2231,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,3,6,Mission Bay,POINT (-122.390368212596 37.771114344264),180320394-57
180320402,71,18013401,Medical Incident,2018-02-01,2018-01-31,02/01/2018 05:23:52 AM,02/01/2018 05:26:24 AM,02/01/2018 05:27:15 AM,02/01/2018 05:27:24 AM,02/01/2018 05:48:34 AM,02/01/2018 06:02:07 AM,02/01/2018 06:14:27 AM,Code 2 Transport,02/01/2018 06:58:57 AM,500 Block of RAMSELL ST,San Francisco,94132,B09,15,8435,2,2,2,true,Non Life-threatening,1,MEDIC,1,9,11,Oceanview/Merced/Ingleside,POINT (-122.466335197673 37.72067272053),180320402-71
180320409,54,18013403,Medical Incident,2018-02-01,2018-01-31,02/01/2018 05:27:31 AM,02/01/2018 05:30:42 AM,02/01/2018 05:38:40 AM,02/01/2018 05:39:00 AM,02/01/2018 05:56:10 AM,02/01/2018 06:07:28 AM,02/01/2018 06:39:13 AM,Code 2 Transport,02/01/2018 07:22:00 AM,0 Block of BROOKDALE AVE,San Francisco,94134,B09,43,6243,2,2,2,true,Potentially Life-Threatening,1,MEDIC,1,9,10,Visitacion Valley,POINT (-122.420838850109 37.712195842331),180320409-54
180320438,52,18013408,Medical Incident,2018-02-01,2018-01-31,02/01/2018 05:47:41 AM,02/01/2018 05:49:46 AM,02/01/2018 05:50:22 AM,02/01/2018 05:50:36 AM,02/01/2018 06:03:40 AM,02/01/2018 06:27:07 AM,02/01/2018 06:38:49 AM,Code 3 Transport,02/01/2018 07:32:19 AM,300 Block of DOLORES ST,San Francisco,94110,B02,06,5251,2,2,2,true,Non Life-threatening,1,MEDIC,1,2,8,Mission,POINT (-122.426118705944 37.763515838217),180320438-52
180320496,65,18013413,Medical Incident,2018-02-01,2018-01-31,02/01/2018 06:22:51 AM,02/01/2018 06:26:30 AM,02/01/2018 06:27:10 AM,02/01/2018 06:27:13 AM,02/01/2018 06:38:19 AM,02/01/2018 06:54:14 AM,02/01/2018 07:10:36 AM,Code 2 Transport,02/01/2018 07:34:11 AM,1100 Block of MARKET ST,San Francisco,94103,B02,36,2316,2,2,2,true,Non Life-threatening,1,MEDIC,1,2,6,South of Market,POINT (-122.413542548681 37.779531084663),180320496-65
180320506,57,18013414,Medical Incident,2018-02-01,2018-01-31,02/01/2018 06:29:48 AM,02/01/2018 06:33:25 AM,02/01/2018 06:33:50 AM,02/01/2018 06:33:55 AM,02/01/2018 06:41:32 AM,02/01/2018 06:53:21 AM,02/01/2018 07:03:18 AM,Code 2 Transport,02/01/2018 07:48:19 AM,1100 Block of MISSION ST,San Francisco,94103,B02,01,2318,2,2,2,true,Non Life-threatening,1,MEDIC,1,2,6,South of Market,POINT (-122.412736707425 37.777712440432),180320506-57
180320541,61,18013416,Medical Incident,2018-02-01,2018-01-31,02/01/2018 06:45:49 AM,02/01/2018 06:47:22 AM,02/01/2018 06:47:53 AM,02/01/2018 06:47:58 AM,02/01/2018 06:54:10 AM,02/01/2018 07:02:43 AM,02/01/2018 07:08:33 AM,Code 3 Transport,02/01/2018 07:48:21 AM,2100 Block of 21ST AVE,San Francisco,94116,B08,40,7433,3,2,2,true,Potentially Life-Threatening,1,MEDIC,2,8,4,Sunset/Parkside,POINT (-122.478228359612 37.747615051198),180320541-61
